read_name,mapping_cov,cigar,mapping_quality
ERR257715.20141979/2,3.88,6S95M,48
ERR257715.11974169/2,5.07,67M34S,0
ERR257715.26906996/2,5.32,62M39S,2
ERR257715.9293107/1,5.50,58M43S,0
ERR257715.21062994/1,5.74,50M51S,0
ERR257715.21648199/1,6.00,64S37M,14
ERR257715.26235239/1,14.86,101M,0
ERR257715.15116321/1,17.34,101M,45
ERR257715.11274843/2,21.01,3M1D90M8S,8
ERR257715.2406727/2,21.82,4S90M7S,6
ERR257715.4492245/1,21.82,11S90M,8
ERR257715.12679156/2,21.82,8S90M3S,8
ERR257715.16795340/1,21.82,13S88M,8
ERR257715.20476781/1,21.79,16S85M,2
ERR257715.7871608/2,21.10,29S72M,0
ERR257715.21981997/1,22.02,21S80M,1
ERR257715.33059454/1,22.25,87M14S,1
ERR257715.18324939/2,22.38,86M15S,1
ERR257715.29848243/2,22.63,84M17S,1
ERR257715.15515451/1,20.59,80M1D21M,1
ERR257715.22613762/1,22.57,17S84M,14
ERR257715.26906996/1,20.61,101M,2
ERR257715.7872038/2,23.32,77M24S,1
ERR257715.20141979/1,19.34,101M,60
ERR257715.9019460/2,19.05,4S97M,3
ERR257715.9293107/2,24.50,51S40M10S,0
ERR257715.9420773/2,24.52,64M37S,1
ERR257715.21062994/2,24.72,62S36M3S,0
ERR257715.12866509/2,24.72,60M41S,1
ERR257715.12395036/1,25.02,52H49M,1
ERR257715.30162975/1,19.92,84M17S,0
ERR257715.6122052/2,17.78,48S41M12S,0
ERR257715.30733669/2,15.42,19S50M32S,0
ERR257715.6122052/1,17.78,17S41M43S,0
ERR257715.21648199/2,14.92,49S52M,16
ERR257715.17956529/2,17.57,33S40M28S,0
ERR257715.22922105/1,16.34,35M66S,0
ERR257715.24743560/1,1.00,44H57M,12
ERR257715.19505417/2,1.40,101M,60
ERR257715.8661759/2,1.40,101M,60
ERR257715.31452491/2,1.86,101M,60
ERR257715.24743560/2,2.32,101M,60
ERR257715.19505417/1,2.11,101M,60
ERR257715.8661759/1,1.95,101M,60
ERR257715.31452491/1,2.18,101M,60
ERR257715.24743560/1,2.30,47M54S,58
ERR257715.27202995/2,1.94,101M,60
ERR257715.15123357/1,1.94,101M,60
ERR257715.15123357/2,1.00,101M,60
ERR257715.22311291/1,2.09,101M,60
ERR257715.27202995/1,2.25,101M,60
ERR257715.22311291/2,1.65,101M,53
ERR257715.12395036/1,1.00,41S60M,50
ERR257715.12395036/2,1.97,101M,60
ERR257715.2726374/2,1.97,101M,60
ERR257715.2726374/1,1.97,101M,60
ERR257715.17003400/1,2.23,101M,60
ERR257715.20673397/2,1.71,101M,60
ERR257715.17003400/2,1.66,101M,58
ERR257715.20673397/1,1.66,101M,60
ERR257715.17269608/2,1.55,101M,60
ERR257715.12212222/1,1.55,101M,60
ERR257715.17269608/1,1.04,101M,60
ERR257715.12212222/2,1.04,101M,60
ERR257715.35280890/2,1.00,101M,56
ERR257715.17492319/2,1.35,101M,60
ERR257715.24724837/2,2.78,101M,60
ERR257715.1524793/1,3.15,101M,60
ERR257715.35280890/1,3.15,101M,60
ERR257715.17492319/1,2.36,101M,60
ERR257715.24724837/1,2.21,101M,60
ERR257715.29833371/1,2.28,101M,60
ERR257715.1524793/2,1.62,101M,60
ERR257715.28756913/1,1.36,101M,60
ERR257715.29833371/2,2.28,101M,60
ERR257715.32513822/2,2.85,101M,60
ERR257715.32513822/1,2.86,101M,60
ERR257715.16820148/2,2.63,101M,60
ERR257715.28756913/2,1.25,101M,60
ERR257715.16820148/1,1.83,101M,60
ERR257715.333084/1,2.93,101M,60
ERR257715.19593570/1,3.15,101M,60
ERR257715.3991616/2,3.96,101M,60
ERR257715.20951805/2,4.01,101M,60
ERR257715.20951805/1,4.13,101M,60
ERR257715.18544349/1,4.11,101M,49
ERR257715.12104368/1,3.64,101M,60
ERR257715.333084/2,3.30,101M,60
ERR257715.19593570/2,2.49,101M,60
ERR257715.3991616/1,2.01,101M,60
ERR257715.12104368/2,1.83,101M,60
ERR257715.12015668/1,1.83,101M,60
ERR257715.12015668/2,1.00,101M,60
ERR257715.31253306/2,1.00,101M,60
ERR257715.25299905/1,1.08,101M,60
ERR257715.8376724/1,2.03,101M,60
ERR257715.31253306/1,2.01,101M,60
ERR257715.25299905/2,1.26,101M,55
ERR257715.8376724/2,1.26,101M,60
ERR257715.881665/1,1.38,41H60M,31
ERR257715.7367971/2,1.64,65S36M,52
ERR257715.29903149/1,1.60,101M,60
ERR257715.9233187/2,2.36,101M,59
ERR257715.12382034/2,2.96,101M,55
