all_name1,all_1_cov,all_1_cigar,all_1_mapq,all_1_readlen,all_1_align_f,all_1_is_pair,all_1_is_primary,all_name2,all_2_cov,all_2_cigar,all_2_mapq,all_2_readlen,all_2_align_f,all_2_is_pair,all_2_is_primary,diff_1_present,diff_1_cov,diff_1_cigar,diff_1_mapq,diff_1_readlen,diff_1_align_f,diff_1_is_pair,diff_1_is_primary,diff_2_present,diff_2_cov,diff_2_cigar,diff_2_mapq,diff_1_readlen,diff_1_align_f,diff_2_is_pair,diff_2_is_primary
ERR257715.535523/1,1.00,101M,60,101,1.0,1,1,ERR257715.535523/2,1.40,101M,60,101,1.0,1,1,diff_1_PRESENT,1.00,101M,60,101,1.0,1,1,diff_2_PRESENT,1.40,101M,60,101,1.0,1,1
ERR257715.5666927/1,1.88,101M,60,101,1.0,1,1,ERR257715.5666927/2,2.14,101M,60,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_ABSENT,,,,,,,
ERR257715.32227604/1,,,,,,,,ERR257715.32227604/2,8.28,37S36M28S,3,101,0.3564356435643564,0,1,diff_1_ABSENT,,,,,,,,diff_2_ABSENT,,,,,,,
ERR257715.4251069/1,1.00,101M,60,101,1.0,1,1,ERR257715.4251069/2,1.00,90M11S,60,101,0.8910891089108911,1,1,diff_1_PRESENT,1.00,101M,60,101,1.0,1,1,diff_2_PRESENT,1.00,90M11S,60,101,0.8910891089108911,1,1
ERR257715.32881565/1,1129.67,101M,51,101,1.0,1,1,ERR257715.32881565/2,448.01,11S90M,54,101,0.8910891089108911,1,1,diff_1_PRESENT,1129.67,101M,14,101,1.0,0,1,diff_2_PRESENT,448.01,11S90M,34,101,0.8910891089108911,0,1
ERR257715.6912183/1,881.46,101M,55,101,1.0,1,1,ERR257715.6912183/2,933.40,101M,60,101,1.0,1,1,diff_1_PRESENT,881.46,101M,60,101,1.0,0,1,diff_2_PRESENT,933.40,101M,60,101,1.0,0,1
ERR257715.25628026/1,1120.58,101M,35,101,1.0,1,1,ERR257715.25628026/2,843.93,9S92M,41,101,0.9108910891089109,1,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,843.93,9S92M,30,101,0.9108910891089109,0,1
ERR257715.13302645/1,1.34,101M,60,101,1.0,1,1,ERR257715.13302645/2,1.44,24S77M,60,101,0.7623762376237624,1,1,diff_1_PRESENT,1.34,101M,60,101,1.0,1,1,diff_2_PRESENT,1.44,24S77M,60,101,0.7623762376237624,1,1
ERR257715.3606938/1,,,,,,,,ERR257715.3606938/2,1.00,101M,7,101,1.0,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1.00,101M,7,101,1.0,0,1
ERR257715.26021756/1,2.21,3S98M,60,101,0.9702970297029703,1,1,ERR257715.26021756/2,2.37,101M,59,101,1.0,1,1,diff_1_PRESENT,2.21,3S98M,60,101,0.9702970297029703,0,1,diff_2_PRESENT,2.37,101M,37,101,1.0,0,1
ERR257715.25548225/1,396.29,97M4S,55,101,0.9603960396039604,1,1,ERR257715.25548225/2,447.23,101M,55,101,1.0,1,1,diff_1_PRESENT,396.29,97M4S,60,101,0.9603960396039604,0,1,diff_2_PRESENT,447.23,101M,43,101,1.0,0,1
ERR257715.34420560/1,1.30,101M,60,101,1.0,1,1,ERR257715.34420560/2,1.14,101M,60,101,1.0,1,1,diff_1_PRESENT,1.30,101M,60,101,1.0,0,1,diff_2_PRESENT,1.14,101M,60,101,1.0,0,1
ERR257715.29625124/1,1017.82,74M27S,30,101,0.7326732673267327,0,1,ERR257715.29625124/2,,,,,,,,diff_1_PRESENT,1017.82,74M27S,30,101,0.7326732673267327,0,1,diff_2_ABSENT,,,,,,,
ERR257715.1870659/1,2.30,101M,50,101,1.0,1,1,ERR257715.1870659/2,2.40,101M,55,101,1.0,1,1,diff_1_PRESENT,2.30,101M,12,101,1.0,0,1,diff_2_PRESENT,2.40,101M,33,101,1.0,0,1
ERR257715.2751696/1,1.83,101M,60,101,1.0,1,1,ERR257715.2751696/2,3.80,101M,60,101,1.0,1,1,diff_1_PRESENT,1.83,101M,60,101,1.0,0,1,diff_2_PRESENT,3.80,101M,60,101,1.0,0,1
ERR257715.24769556/1,1.77,101M,60,101,1.0,1,1,ERR257715.24769556/2,1.92,101M,60,101,1.0,1,1,diff_1_PRESENT,1.77,101M,60,101,1.0,0,1,diff_2_PRESENT,1.92,101M,60,101,1.0,0,1
ERR257715.18994959/1,1.46,101M,60,101,1.0,1,1,ERR257715.18994959/2,1.50,101M,60,101,1.0,1,1,diff_1_PRESENT,1.46,101M,60,101,1.0,0,1,diff_2_PRESENT,1.50,101M,60,101,1.0,0,1
ERR257715.17197947/1,407.34,69M1I6M1I24M,49,101,0.9801980198019802,1,1,ERR257715.17197947/2,397.31,59M2D4M2I36M,43,101,0.9801980198019802,1,1,diff_1_PRESENT,407.34,69M1I6M1I24M,29,101,0.9801980198019802,0,1,diff_2_PRESENT,397.31,59M2D4M2I36M,5,101,0.9801980198019802,0,1
ERR257715.17597138/1,3.29,101M,60,101,1.0,1,1,ERR257715.17597138/2,1.94,101M,60,101,1.0,1,1,diff_1_PRESENT,3.29,101M,58,101,1.0,0,1,diff_2_PRESENT,1.94,101M,60,101,1.0,0,1
ERR257715.13713938/1,2.11,101M,44,101,1.0,0,1,ERR257715.13713938/2,,,,,,,,diff_1_PRESENT,2.11,101M,44,101,1.0,0,1,diff_2_ABSENT,,,,,,,
ERR257715.13320385/1,1.67,101M,60,101,1.0,1,1,ERR257715.13320385/2,2.02,101M,60,101,1.0,1,1,diff_1_PRESENT,1.67,101M,60,101,1.0,0,1,diff_2_PRESENT,2.02,101M,60,101,1.0,0,1
ERR257715.25548149/1,1.25,101M,49,101,1.0,1,1,ERR257715.25548149/2,1.52,101M,59,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1.52,101M,37,101,1.0,0,1
ERR257715.17232431/1,1.37,101M,60,101,1.0,1,1,ERR257715.17232431/2,2.04,101M,60,101,1.0,1,1,diff_1_PRESENT,1.37,101M,60,101,1.0,0,1,diff_2_PRESENT,2.04,101M,51,101,1.0,0,1
ERR257715.15202291/1,1.65,101M,60,101,1.0,1,1,ERR257715.15202291/2,4.81,15S86M,50,101,0.8514851485148515,1,1,diff_1_PRESENT,1.65,101M,60,101,1.0,0,1,diff_2_ABSENT,,,,,,,
ERR257715.30997376/1,271.19,77M24S,9,101,0.7623762376237624,0,1,ERR257715.30997376/2,,,,,,,,diff_1_PRESENT,271.19,77M24S,9,101,0.7623762376237624,0,1,diff_2_ABSENT,,,,,,,
ERR257715.34273237/1,1.68,101M,60,101,1.0,1,1,ERR257715.34273237/2,1.68,101M,60,101,1.0,1,1,diff_1_PRESENT,1.68,101M,60,101,1.0,1,1,diff_2_PRESENT,1.68,101M,60,101,1.0,1,1
ERR257715.25689987/1,2.50,101M,58,101,1.0,1,1,ERR257715.25689987/2,1.44,101M,60,101,1.0,1,1,diff_1_PRESENT,2.50,101M,37,101,1.0,0,1,diff_2_PRESENT,1.44,101M,47,101,1.0,0,1
ERR257715.2464166/1,,,,,,,,ERR257715.2464166/2,1027.44,101M,2,101,1.0,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1027.44,101M,2,101,1.0,0,1
ERR257715.22287157/1,446.31,14S87M,50,101,0.8613861386138614,1,1,ERR257715.22287157/2,861.64,97M4S,44,101,0.9603960396039604,1,1,diff_1_PRESENT,446.31,14S87M,33,101,0.8613861386138614,0,1,diff_2_PRESENT,861.64,97M4S,6,101,0.9603960396039604,0,1
ERR257715.4587197/1,3.20,101M,60,101,1.0,1,1,ERR257715.4587197/2,1.05,101M,60,101,1.0,1,1,diff_1_PRESENT,3.20,101M,60,101,1.0,0,1,diff_2_PRESENT,1.05,101M,60,101,1.0,0,1
ERR257715.13553784/1,822.68,16S85M,38,101,0.8415841584158416,1,1,ERR257715.13553784/2,524.65,64S37M,34,101,0.36633663366336633,1,1,diff_1_PRESENT,822.68,16S85M,28,101,0.8415841584158416,0,1,diff_2_PRESENT,524.65,64S37M,2,101,0.36633663366336633,0,1
ERR257715.7869934/1,1.52,101M,53,101,1.0,1,1,ERR257715.7869934/2,1.52,101M,57,101,1.0,1,1,diff_1_PRESENT,1.52,101M,53,101,1.0,1,1,diff_2_PRESENT,1.52,101M,57,101,1.0,1,1
ERR257715.35013500/1,4.22,101M,60,101,1.0,1,1,ERR257715.35013500/2,2.70,101M,60,101,1.0,1,1,diff_1_PRESENT,4.22,101M,60,101,1.0,0,1,diff_2_ABSENT,,,,,,,
ERR257715.27433494/1,1.76,101M,60,101,1.0,1,1,ERR257715.27433494/2,2.31,101M,60,101,1.0,1,1,diff_1_PRESENT,1.76,101M,37,101,1.0,0,1,diff_2_PRESENT,2.31,101M,60,101,1.0,0,1
ERR257715.25244900/1,,,,,,,,ERR257715.25244900/2,64.24,63S38M,1,101,0.37623762376237624,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,64.24,63S38M,1,101,0.37623762376237624,0,1
ERR257715.29930647/1,3.30,101M,58,101,1.0,1,1,ERR257715.29930647/2,2.41,101M,60,101,1.0,1,1,diff_1_PRESENT,3.30,101M,32,101,1.0,0,1,diff_2_ABSENT,,,,,,,
ERR257715.15039333/1,395.68,28S69M4S,27,101,0.6831683168316832,1,1,ERR257715.15039333/2,1117.33,101M,30,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1117.33,101M,13,101,1.0,0,1
ERR257715.32403867/1,1.62,101M,60,101,1.0,1,1,ERR257715.32403867/2,4.96,101M,60,101,1.0,1,1,diff_1_PRESENT,1.62,101M,60,101,1.0,0,1,diff_2_PRESENT,4.96,101M,60,101,1.0,0,1
ERR257715.32543436/1,1.00,101M,60,101,1.0,1,1,ERR257715.32543436/2,1.28,101M,60,101,1.0,1,1,diff_1_PRESENT,1.00,101M,60,101,1.0,0,1,diff_2_PRESENT,1.28,101M,60,101,1.0,0,1
ERR257715.7609135/1,1.87,86M15S,1,101,0.8514851485148515,0,1,ERR257715.7609135/2,,,,,,,,diff_1_PRESENT,1.87,86M15S,1,101,0.8514851485148515,0,1,diff_2_ABSENT,,,,,,,
ERR257715.35499954/1,,,,,,,,ERR257715.35499954/2,27.13,39M62S,0,101,0.38613861386138615,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,19.05,39M62S,0,101,0.38613861386138615,0,1
ERR257715.10320372/1,1.52,101M,60,101,1.0,1,1,ERR257715.10320372/2,2.39,35S66M,58,101,0.6534653465346535,1,1,diff_1_PRESENT,1.52,101M,60,101,1.0,0,1,diff_2_PRESENT,2.39,35S66M,29,101,0.6534653465346535,0,1
ERR257715.27090440/1,3.51,101M,60,101,1.0,1,1,ERR257715.27090440/2,1.43,101M,60,101,1.0,1,1,diff_1_PRESENT,3.51,101M,60,101,1.0,0,1,diff_2_PRESENT,1.43,101M,60,101,1.0,0,1
ERR257715.26175679/1,2.10,101M,60,101,1.0,1,1,ERR257715.26175679/2,1.12,101M,60,101,1.0,1,1,diff_1_PRESENT,2.10,101M,60,101,1.0,0,1,diff_2_PRESENT,1.12,101M,60,101,1.0,0,1
ERR257715.12170386/1,1.68,101M,60,101,1.0,1,1,ERR257715.12170386/2,1.72,101M,60,101,1.0,1,1,diff_1_PRESENT,1.68,101M,60,101,1.0,0,1,diff_2_PRESENT,1.72,101M,60,101,1.0,0,1
ERR257715.32618316/1,,,,,,,,ERR257715.32618316/2,5.69,45S35M21S,5,101,0.3465346534653465,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,5.69,45S35M21S,5,101,0.3465346534653465,0,1
ERR257715.8437871/1,1.00,96M5S,60,101,0.9504950495049505,1,1,ERR257715.8437871/2,1.85,101M,50,101,1.0,1,1,diff_1_PRESENT,1.00,96M5S,60,101,0.9504950495049505,0,1,diff_2_ABSENT,,,,,,,
ERR257715.27555050/1,61.70,29S43M29S,1,101,0.42574257425742573,0,1,ERR257715.27555050/2,,,,,,,,diff_1_PRESENT,61.70,29S43M29S,1,101,0.42574257425742573,0,1,diff_2_ABSENT,,,,,,,
ERR257715.32011483/1,391.68,82M19S,25,101,0.8118811881188119,1,1,ERR257715.32011483/2,1117.53,101M,28,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1117.53,101M,12,101,1.0,0,1
ERR257715.9784183/1,1.96,101M,60,101,1.0,1,1,ERR257715.9784183/2,3.48,101M,60,101,1.0,1,1,diff_1_PRESENT,1.96,101M,60,101,1.0,0,1,diff_2_PRESENT,3.48,101M,38,101,1.0,0,1
ERR257715.6875556/1,1.21,101M,60,101,1.0,1,1,ERR257715.6875556/2,2.41,101M,60,101,1.0,1,1,diff_1_PRESENT,1.21,101M,60,101,1.0,0,1,diff_2_ABSENT,,,,,,,
ERR257715.14584407/1,1.18,101M,60,101,1.0,1,1,ERR257715.14584407/2,1.00,91M10S,59,101,0.900990099009901,1,1,diff_1_PRESENT,1.18,101M,60,101,1.0,1,1,diff_2_PRESENT,1.00,91M10S,59,101,0.900990099009901,1,1
ERR257715.4394802/1,549.66,101M,30,101,1.0,1,1,ERR257715.4394802/2,332.19,89M12S,26,101,0.8811881188118812,1,1,diff_1_PRESENT,549.66,101M,23,101,1.0,0,1,diff_2_ABSENT,,,,,,,
ERR257715.28139954/1,1.78,101M,60,101,1.0,1,1,ERR257715.28139954/2,1.99,101M,60,101,1.0,1,1,diff_1_PRESENT,1.78,101M,60,101,1.0,0,1,diff_2_PRESENT,1.99,101M,60,101,1.0,0,1
ERR257715.6908008/1,1.30,101M,60,101,1.0,1,1,ERR257715.6908008/2,3.09,101M,60,101,1.0,1,1,diff_1_PRESENT,1.30,101M,60,101,1.0,0,1,diff_2_PRESENT,3.09,101M,60,101,1.0,0,1
ERR257715.1118171/1,1.77,101M,60,101,1.0,1,1,ERR257715.1118171/2,1.66,101M,57,101,1.0,1,1,diff_1_PRESENT,1.77,101M,60,101,1.0,1,1,diff_2_PRESENT,1.66,101M,57,101,1.0,1,1
ERR257715.13665863/1,2.12,101M,60,101,1.0,1,1,ERR257715.13665863/2,1.90,101M,60,101,1.0,1,1,diff_1_PRESENT,2.12,101M,60,101,1.0,0,1,diff_2_PRESENT,1.90,101M,45,101,1.0,0,1
ERR257715.34265926/1,1.88,101M,60,101,1.0,1,1,ERR257715.34265926/2,1.00,101M,60,101,1.0,1,1,diff_1_PRESENT,1.88,101M,60,101,1.0,1,1,diff_2_PRESENT,1.00,101M,60,101,1.0,1,1
ERR257715.27241943/1,3.04,101M,60,101,1.0,1,1,ERR257715.27241943/2,1.00,101M,60,101,1.0,1,1,diff_1_PRESENT,3.04,101M,60,101,1.0,0,1,diff_2_PRESENT,1.00,101M,60,101,1.0,0,1
ERR257715.12015814/1,19.97,39M62S,0,101,0.38613861386138615,0,1,ERR257715.12015814/2,,,,,,,,diff_1_ABSENT,,,,,,,,diff_2_ABSENT,,,,,,,
ERR257715.16658233/1,2.72,101M,60,101,1.0,1,1,ERR257715.16658233/2,2.12,101M,60,101,1.0,1,1,diff_1_PRESENT,2.72,101M,49,101,1.0,0,1,diff_2_PRESENT,2.12,101M,60,101,1.0,0,1
ERR257715.2679538/1,,,,,,,,ERR257715.2679538/2,423.14,101M,50,101,1.0,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,423.14,101M,50,101,1.0,0,1
ERR257715.26036880/1,3.51,26S75M,60,101,0.7425742574257426,0,1,ERR257715.26036880/2,3.86,101M,36,101,1.0,0,1,diff_1_PRESENT,3.51,26S75M,60,101,0.7425742574257426,0,1,diff_2_PRESENT,3.86,101M,36,101,1.0,0,1
ERR257715.21444792/1,2.25,101M,60,101,1.0,1,1,ERR257715.21444792/2,5.99,101M,60,101,1.0,1,1,diff_1_PRESENT,2.25,101M,60,101,1.0,0,1,diff_2_PRESENT,5.99,101M,60,101,1.0,0,1
ERR257715.28332786/1,1.27,3S98M,34,101,0.9702970297029703,1,1,ERR257715.28332786/2,1.00,12S89M,29,101,0.8811881188118812,1,1,diff_1_PRESENT,1.27,3S98M,21,101,0.9702970297029703,0,1,diff_2_ABSENT,,,,,,,
ERR257715.26875807/1,1.64,101M,60,101,1.0,1,1,ERR257715.26875807/2,1.69,101M,60,101,1.0,1,1,diff_1_PRESENT,1.64,101M,60,101,1.0,1,1,diff_2_PRESENT,1.69,101M,60,101,1.0,1,1
ERR257715.31996520/1,2.24,7S94M,60,101,0.9306930693069307,1,1,ERR257715.31996520/2,2.49,101M,60,101,1.0,1,1,diff_1_PRESENT,2.24,7S94M,60,101,0.9306930693069307,0,1,diff_2_PRESENT,2.49,101M,49,101,1.0,0,1
ERR257715.22434320/1,422.42,101M,54,101,1.0,1,1,ERR257715.22434320/2,261.54,33S68M,57,101,0.6732673267326733,1,1,diff_1_PRESENT,422.42,101M,29,101,1.0,0,1,diff_2_PRESENT,261.54,33S68M,31,101,0.6732673267326733,0,1
ERR257715.23704182/1,2.16,101M,60,101,1.0,1,1,ERR257715.23704182/2,1.18,101M,60,101,1.0,1,1,diff_1_PRESENT,2.16,101M,60,101,1.0,0,1,diff_2_PRESENT,1.18,101M,60,101,1.0,0,1
ERR257715.23183906/1,1.00,101M,60,101,1.0,1,1,ERR257715.23183906/2,1.00,101M,60,101,1.0,1,1,diff_1_PRESENT,1.00,101M,60,101,1.0,1,1,diff_2_PRESENT,1.00,101M,60,101,1.0,1,1
ERR257715.9570050/1,1.98,101M,60,101,1.0,1,1,ERR257715.9570050/2,1.03,101M,60,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1.03,101M,60,101,1.0,0,1
ERR257715.13891936/1,,,,,,,,ERR257715.13891936/2,1.00,101M,60,101,1.0,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1.00,101M,60,101,1.0,0,1
ERR257715.14747303/1,2.34,101M,60,101,1.0,1,1,ERR257715.14747303/2,3.11,101M,58,101,1.0,1,1,diff_1_PRESENT,2.34,101M,60,101,1.0,0,1,diff_2_PRESENT,3.11,101M,30,101,1.0,0,1
ERR257715.1618313/1,,,,,,,,ERR257715.1618313/2,20.52,51M1I10M1D39M,7,101,0.9900990099009901,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,20.52,51M1I10M1D39M,7,101,0.9900990099009901,0,1
ERR257715.2873200/1,856.11,83M18S,6,101,0.8217821782178217,0,1,ERR257715.2873200/2,,,,,,,,diff_1_ABSENT,,,,,,,,diff_2_ABSENT,,,,,,,
ERR257715.16351970/1,1.96,101M,60,101,1.0,1,1,ERR257715.16351970/2,2.74,101M,60,101,1.0,1,1,diff_1_PRESENT,1.96,101M,60,101,1.0,0,1,diff_2_PRESENT,2.74,101M,60,101,1.0,0,1
ERR257715.18942792/1,4.72,101M,60,101,1.0,1,1,ERR257715.18942792/2,2.55,101M,60,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,2.55,101M,31,101,1.0,0,1
ERR257715.12080729/1,385.69,36M65S,26,101,0.3564356435643564,1,1,ERR257715.12080729/2,1122.29,101M,29,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1122.29,101M,13,101,1.0,0,1
ERR257715.1861810/1,1.50,101M,60,101,1.0,1,1,ERR257715.1861810/2,1.00,101M,60,101,1.0,1,1,diff_1_PRESENT,1.50,101M,60,101,1.0,1,1,diff_2_PRESENT,1.00,101M,60,101,1.0,1,1
ERR257715.35240890/1,2.36,101M,60,101,1.0,0,1,ERR257715.35240890/2,,,,,,,,diff_1_PRESENT,2.36,101M,60,101,1.0,0,1,diff_2_ABSENT,,,,,,,
ERR257715.27390350/1,1.68,101M,60,101,1.0,1,1,ERR257715.27390350/2,1.00,13S88M,60,101,0.8712871287128713,1,1,diff_1_PRESENT,1.68,101M,60,101,1.0,0,1,diff_2_PRESENT,1.00,13S88M,60,101,0.8712871287128713,0,1
ERR257715.15589062/1,403.28,98M3S,4,101,0.9702970297029703,1,1,ERR257715.15589062/2,1130.18,29M1I3M1D68M,4,101,0.9900990099009901,1,1,diff_1_ABSENT,,,,,,,,diff_2_ABSENT,,,,,,,
ERR257715.34193702/1,2.24,4S97M,47,101,0.9603960396039604,0,1,ERR257715.34193702/2,,,,,,,,diff_1_PRESENT,2.24,4S97M,47,101,0.9603960396039604,0,1,diff_2_ABSENT,,,,,,,
ERR257715.9937127/1,4.32,101M,60,101,1.0,1,1,ERR257715.9937127/2,2.58,101M,60,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,2.58,101M,60,101,1.0,0,1
ERR257715.2039776/1,,,,,,,,ERR257715.2039776/2,1005.07,74M27S,45,101,0.7326732673267327,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,1005.07,74M27S,45,101,0.7326732673267327,0,1
ERR257715.12967937/1,,,,,,,,ERR257715.12967937/2,932.60,67M34S,1,101,0.6633663366336634,0,1,diff_1_ABSENT,,,,,,,,diff_2_PRESENT,932.60,67M34S,1,101,0.6633663366336634,0,1
ERR257715.27779335/1,153.48,98M3S,21,101,0.9702970297029703,0,1,ERR257715.27779335/2,,,,,,,,diff_1_PRESENT,153.48,98M3S,21,101,0.9702970297029703,0,1,diff_2_ABSENT,,,,,,,
ERR257715.11323344/1,1.01,101M,60,101,1.0,1,1,ERR257715.11323344/2,1.73,101M,60,101,1.0,1,1,diff_1_PRESENT,1.01,101M,60,101,1.0,0,1,diff_2_PRESENT,1.73,101M,60,101,1.0,0,1
ERR257715.26043427/1,1.00,101M,60,101,1.0,1,1,ERR257715.26043427/2,2.04,101M,60,101,1.0,1,1,diff_1_PRESENT,1.00,101M,60,101,1.0,1,1,diff_2_PRESENT,2.04,101M,60,101,1.0,1,1
ERR257715.24044058/1,4.68,101M,60,101,1.0,1,1,ERR257715.24044058/2,3.81,101M,50,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_ABSENT,,,,,,,
ERR257715.9422350/1,2.24,101M,60,101,1.0,1,1,ERR257715.9422350/2,1.00,101M,58,101,1.0,1,1,diff_1_PRESENT,2.24,101M,60,101,1.0,1,1,diff_2_PRESENT,1.00,101M,58,101,1.0,1,1
ERR257715.22778181/1,4.45,101M,60,101,1.0,1,1,ERR257715.22778181/2,2.00,66M35S,60,101,0.6534653465346535,1,1,diff_1_PRESENT,4.45,101M,60,101,1.0,0,1,diff_2_PRESENT,2.00,66M35S,38,101,0.6534653465346535,0,1
ERR257715.22425648/1,2.16,101M,60,101,1.0,1,1,ERR257715.22425648/2,1.00,71M1I29M,60,101,0.9900990099009901,1,1,diff_1_PRESENT,2.16,101M,60,101,1.0,0,1,diff_2_PRESENT,1.00,71M1I29M,60,101,0.9900990099009901,0,1
ERR257715.24810609/1,1.97,101M,60,101,1.0,1,1,ERR257715.24810609/2,1.35,101M,60,101,1.0,1,1,diff_1_PRESENT,1.97,101M,60,101,1.0,0,1,diff_2_PRESENT,1.35,101M,60,101,1.0,0,1
ERR257715.15855005/1,1.00,101M,60,101,1.0,1,1,ERR257715.15855005/2,1.00,101M,60,101,1.0,1,1,diff_1_PRESENT,1.00,101M,60,101,1.0,1,1,diff_2_PRESENT,1.00,101M,60,101,1.0,1,1
ERR257715.23122591/1,2.86,101M,60,101,1.0,1,1,ERR257715.23122591/2,1.60,101M,60,101,1.0,1,1,diff_1_PRESENT,2.86,101M,59,101,1.0,0,1,diff_2_PRESENT,1.60,101M,60,101,1.0,0,1
ERR257715.19183134/1,5.32,101M,60,101,1.0,1,1,ERR257715.19183134/2,2.45,101M,60,101,1.0,1,1,diff_1_PRESENT,5.32,101M,60,101,1.0,0,1,diff_2_PRESENT,2.45,101M,60,101,1.0,0,1
ERR257715.9814382/1,3.38,101M,60,101,1.0,1,1,ERR257715.9814382/2,1.75,101M,60,101,1.0,1,1,diff_1_ABSENT,,,,,,,,diff_2_ABSENT,,,,,,,
ERR257715.13682235/1,,,,,,,,ERR257715.13682235/2,579.65,78M23S,2,101,0.7722772277227723,0,1,diff_1_ABSENT,,,,,,,,diff_2_ABSENT,,,,,,,
ERR257715.32312556/1,772.64,101M,60,101,1.0,0,1,ERR257715.32312556/2,472.81,9S78M14S,49,101,0.7722772277227723,0,1,diff_1_PRESENT,772.64,101M,60,101,1.0,0,1,diff_2_ABSENT,,,,,,,
ERR257715.2218720/1,1.00,101M,60,101,1.0,1,1,ERR257715.2218720/2,1.00,101M,60,101,1.0,1,1,diff_1_PRESENT,1.00,101M,60,101,1.0,1,1,diff_2_PRESENT,1.00,101M,60,101,1.0,1,1
ERR257715.1645656/1,1.76,19S82M,19,101,0.8118811881188119,0,1,ERR257715.1645656/2,1.50,101M,60,101,1.0,0,1,diff_1_PRESENT,1.76,19S82M,19,101,0.8118811881188119,0,1,diff_2_PRESENT,1.50,101M,60,101,1.0,0,1
