read_name,mapping_cov,cigar,mapping_quality
ERR257715.9293107/1,5.50,58M43S,0
ERR257715.33716315/1,8.75,101M,0
ERR257715.15116321/1,17.34,101M,45
ERR257715.8390141/2,20.17,101M,60
ERR257715.11274843/2,21.01,3M1D90M8S,8
ERR257715.2406727/2,21.82,4S90M7S,6
ERR257715.4492245/1,21.82,11S90M,6
ERR257715.12679156/2,21.82,8S90M3S,6
ERR257715.16795340/1,21.82,13S88M,6
ERR257715.20476781/1,21.79,16S85M,2
ERR257715.7871608/2,21.10,29S72M,0
ERR257715.21981997/1,22.02,21S80M,1
ERR257715.33059454/1,22.25,87M14S,1
ERR257715.18324939/2,22.38,86M15S,1
ERR257715.29848243/2,22.63,84M17S,1
ERR257715.15515451/1,20.59,80M1D21M,1
ERR257715.4864390/1,22.85,82M19S,0
ERR257715.22613762/1,22.57,17S84M,16
ERR257715.7872038/2,23.32,77M24S,1
ERR257715.20141979/1,19.34,101M,59
ERR257715.9019460/2,19.05,4S97M,5
ERR257715.9420773/2,24.52,64M37S,1
ERR257715.12866509/2,24.72,60M41S,1
ERR257715.12395036/1,25.02,52H49M,1
ERR257715.12570268/2,18.00,13S43M45S,0
ERR257715.30733669/2,15.42,19S50M32S,0
ERR257715.33146986/2,17.78,4S41M56S,0
ERR257715.21648199/2,14.92,49S52M,0
ERR257715.23283857/1,16.34,35M66S,0
ERR257715.24743560/1,1.00,44S57M,12
ERR257715.19505417/2,1.40,101M,60
ERR257715.8661759/2,1.40,101M,60
ERR257715.31452491/2,1.86,101M,60
ERR257715.24743560/2,2.32,101M,60
ERR257715.19505417/1,2.11,101M,60
ERR257715.8661759/1,1.95,101M,60
ERR257715.31452491/1,2.18,101M,60
ERR257715.24743560/1,2.30,47M54H,25
ERR257715.27202995/2,1.94,101M,50
ERR257715.15123357/1,1.94,101M,60
ERR257715.15123357/2,1.00,101M,60
ERR257715.22311291/1,2.09,101M,60
ERR257715.27202995/1,2.25,101M,50
ERR257715.22311291/2,1.65,101M,3
ERR257715.12395036/1,1.00,41S60M,50
ERR257715.12395036/2,1.97,101M,60
ERR257715.2726374/2,1.97,101M,60
ERR257715.2726374/1,1.97,101M,60
ERR257715.17003400/1,2.23,101M,38
ERR257715.20673397/2,1.71,101M,43
ERR257715.17003400/2,1.66,101M,39
ERR257715.20673397/1,1.66,101M,60
ERR257715.17269608/2,1.55,101M,60
ERR257715.12212222/1,1.55,101M,60
ERR257715.17269608/1,1.04,101M,58
ERR257715.12212222/2,1.04,101M,60
ERR257715.35280890/2,1.00,101M,24
ERR257715.17492319/2,1.35,101M,60
ERR257715.24724837/2,2.78,101M,60
ERR257715.1524793/1,3.15,101M,60
ERR257715.35280890/1,3.15,101M,60
ERR257715.17492319/1,2.36,101M,60
ERR257715.24724837/1,2.21,101M,59
ERR257715.29833371/1,2.28,101M,60
ERR257715.1524793/2,1.62,101M,60
ERR257715.28756913/1,1.36,101M,60
ERR257715.29833371/2,2.28,101M,60
ERR257715.32513822/2,2.85,101M,60
ERR257715.32513822/1,2.86,101M,60
ERR257715.16820148/2,2.63,101M,60
ERR257715.28756913/2,1.25,101M,47
ERR257715.12104368/2,1.83,101M,60
ERR257715.12015668/1,1.83,101M,60
ERR257715.12015668/2,1.00,101M,60
ERR257715.31253306/2,1.00,101M,60
ERR257715.25299905/1,1.08,101M,60
ERR257715.8376724/1,2.03,101M,60
ERR257715.31253306/1,2.01,101M,60
ERR257715.25299905/2,1.26,101M,8
ERR257715.8376724/2,1.26,101M,60
ERR257715.881665/1,1.38,41H60M,31
ERR257715.24946956/1,1.00,101M,60
ERR257715.17663102/2,2.09,101M,60
ERR257715.24946956/2,2.35,101M,60
ERR257715.18516511/2,1.95,101M,60
ERR257715.17663102/1,1.00,101M,60
ERR257715.18516511/1,1.42,101M,60
ERR257715.881665/1,2.00,59S42M,55
ERR257715.881665/2,1.34,101M,60
ERR257715.30461110/1,1.34,101M,60
ERR257715.30461110/2,1.06,101M,60
ERR257715.9218478/1,1.57,101M,60
ERR257715.25379688/2,2.01,101M,46
ERR257715.35331345/1,2.02,101M,60
ERR257715.25060351/1,2.34,101M,51
ERR257715.33690901/1,4.08,101M,36
ERR257715.2813728/1,4.67,101M,36
ERR257715.9218478/2,4.75,101M,49
ERR257715.35331345/2,4.78,101M,44
ERR257715.34877872/2,4.71,101M,60
ERR257715.25060351/2,3.69,3S98M,60
ERR257715.13037205/2,2.03,101M,60
ERR257715.1303435/1,2.67,101M,5
ERR257715.31935425/1,3.03,101M,60
ERR257715.13250359/1,3.39,101M,60
ERR257715.32105611/1,3.11,101M,60
ERR257715.11910874/2,2.79,10S91M,25
ERR257715.8451638/1,1.69,101M,60
ERR257715.1303435/2,3.30,101M,60
ERR257715.104999/2,3.34,101M,60
ERR257715.8451638/2,3.07,101M,60
ERR257715.32105611/2,2.75,101M,60
ERR257715.104999/1,1.00,101M,60
ERR257715.4207171/2,1.00,101M,60
ERR257715.32051162/1,1.52,101M,59
ERR257715.4207171/1,1.52,101M,60
ERR257715.32051162/2,1.73,101M,60
ERR257715.30900702/2,1.73,101M,50
ERR257715.12416838/2,3.17,101M,60
ERR257715.3658242/1,3.33,101M,60
ERR257715.30900702/1,3.33,101M,60
ERR257715.12416838/1,3.09,101M,60
ERR257715.3658242/2,1.00,101M,60
ERR257715.19265561/1,1.71,26S75M,60
ERR257715.26408284/2,1.61,87M14S,6
ERR257715.19265561/2,1.00,101M,33
ERR257715.26408284/1,1.00,101M,60
ERR257715.10853390/1,1.00,101M,60
ERR257715.4390729/2,1.00,101M,60
ERR257715.10853390/2,1.00,75M26S,56
ERR257715.6965504/2,2.27,7S94M,19
ERR257715.27930469/1,2.91,101M,60
ERR257715.23870456/1,2.91,101M,60
ERR257715.6965504/1,2.85,101M,60
ERR257715.20267146/2,2.82,101M,60
ERR257715.27930469/2,2.82,101M,60
ERR257715.20355636/2,2.77,101M,60
ERR257715.23870456/2,1.97,101M,60
ERR257715.20267146/1,1.84,101M,60
ERR257715.19348909/2,1.00,101M,60
ERR257715.25157835/1,1.00,86M15S,60
ERR257715.25157835/2,1.00,13S88M,53
ERR257715.22285019/1,1.32,101M,5
ERR257715.22285019/2,1.32,101M,5
ERR257715.11512297/1,1.00,83M18S,42
ERR257715.11512297/2,1.00,101M,49
ERR257715.35223282/1,1.77,101M,60
ERR257715.35223282/2,1.29,101M,60
ERR257715.32551397/2,2.03,101M,60
ERR257715.16663795/2,1.80,101M,60
ERR257715.16663795/1,1.00,101M,60
ERR257715.21808244/2,1.00,101M,60
ERR257715.21808244/1,1.00,101M,60
ERR257715.5436131/1,0.81,32M24D69M,24
ERR257715.20326624/1,1.68,101M,48
ERR257715.20326624/2,1.68,101M,60
ERR257715.20849629/2,1.00,101M,60
ERR257715.20849629/1,1.00,101M,60
ERR257715.18889999/2,1.00,101M,60
ERR257715.1602709/1,1.00,101M,60
ERR257715.1602709/2,1.00,101M,60
ERR257715.34282476/2,1.00,101M,60
ERR257715.34282476/1,1.00,101M,59
ERR257715.18889999/1,1.00,101M,60
ERR257715.20038078/2,1.00,101M,48
ERR257715.19908405/1,2.17,101M,41
ERR257715.9629336/1,1.36,101M,60
ERR257715.27079933/2,2.11,101M,7
ERR257715.19908405/2,3.06,101M,53
ERR257715.19987129/2,3.06,101M,26
ERR257715.9629336/2,2.15,101M,60
ERR257715.34489884/2,1.83,2S99M,40
ERR257715.27079933/1,2.00,19S82M,13
ERR257715.34489884/1,1.99,101M,34
ERR257715.3768951/2,1.99,101M,60
ERR257715.3768951/1,1.00,101M,60
ERR257715.20583123/1,1.00,101M,60
ERR257715.20583123/2,1.00,101M,60
ERR257715.33862850/1,1.99,101M,43
ERR257715.33761745/2,1.99,101M,12
ERR257715.20038078/1,2.65,101M,39
ERR257715.33761745/1,3.72,101M,60
ERR257715.33862850/2,3.74,101M,60
ERR257715.32003013/2,3.71,101M,60
ERR257715.11399002/2,1.74,101M,60
ERR257715.32003013/1,1.02,101M,47
ERR257715.11399002/1,1.71,101M,60
ERR257715.15874031/1,2.00,29S72M,54
ERR257715.13768904/1,2.43,101M,60
ERR257715.15874031/2,2.44,101M,60
ERR257715.14440933/2,1.88,101M,60
ERR257715.13768904/2,1.55,101M,60
ERR257715.14440933/1,1.55,101M,60
ERR257715.21439931/1,1.00,101M,60
ERR257715.21439931/2,1.00,101M,60
ERR257715.22071820/1,1.00,101M,60
ERR257715.10785604/1,1.00,101M,55
ERR257715.10785604/2,1.00,101M,60
ERR257715.27129112/1,1.12,101M,60
ERR257715.30918023/1,1.60,101M,25
ERR257715.27129112/2,1.49,101M,37
ERR257715.30918023/2,1.00,101M,60
ERR257715.10731468/2,1.00,101M,13
ERR257715.22586743/1,1.00,101M,60
ERR257715.10731468/1,1.52,101M,60
ERR257715.22586743/2,1.52,101M,60
ERR257715.13672645/1,1.43,101M,48
ERR257715.30436588/1,1.57,101M,60
ERR257715.13672645/2,1.57,101M,60
ERR257715.18580418/2,1.78,20S81M,33
ERR257715.26681538/1,1.62,101M,60
ERR257715.20508301/2,1.00,101M,59
ERR257715.20508301/1,1.00,101M,60
ERR257715.18580418/1,3.87,51M1D50M,37
ERR257715.26681538/2,8.60,5S96M,60
ERR257715.27123471/2,10.53,7M3D65M29S,18
ERR257715.7307002/1,10.43,22S76M3S,58
ERR257715.33123246/1,10.70,6S73M22S,12
ERR257715.20628664/2,11.92,62M39S,1
ERR257715.16562927/1,12.00,38S60M3S,1
ERR257715.5697714/2,12.72,38S54M9S,12
ERR257715.27646747/1,12.24,43S58M,12
ERR257715.33844566/2,12.72,27S54M20S,12
ERR257715.35019788/2,12.80,51M50S,4
ERR257715.16427005/2,12.84,51M50S,12
ERR257715.29900656/1,13.00,2S43M56S,12
ERR257715.4205872/1,12.72,40M61S,4
ERR257715.22406092/1,1.00,101M,60
ERR257715.31260337/2,1.00,56S45M,12
ERR257715.5737518/2,1.00,101M,60
ERR257715.5737518/1,1.62,101M,60
ERR257715.21484117/1,1.62,101M,60
ERR257715.22438757/2,1.00,101M,60
ERR257715.21484117/2,1.00,101M,34
ERR257715.22438757/1,2.00,101M,37
ERR257715.21048247/2,2.31,101M,60
ERR257715.25475164/1,1.92,101M,60
ERR257715.21048247/1,1.57,101M,60
ERR257715.25475164/2,1.57,101M,13
ERR257715.17174870/1,1.00,101M,60
ERR257715.17174870/2,1.00,101M,60
ERR257715.4103941/1,1.00,101M,60
ERR257715.4103941/2,1.00,101M,60
ERR257715.14309162/1,1.00,101M,60
ERR257715.14309162/2,1.00,101M,56
ERR257715.25866158/2,1.00,101M,60
ERR257715.25866158/1,1.00,101M,60
ERR257715.16185537/2,1.00,101M,60
ERR257715.16185537/1,1.00,101M,60
ERR257715.12438340/1,1.00,101M,60
ERR257715.12438340/2,1.00,101M,60
ERR257715.30588442/2,1.00,101M,60
ERR257715.30588442/1,1.00,101M,60
ERR257715.32681900/2,1.00,101M,56
ERR257715.32681900/1,1.00,101M,60
ERR257715.6378010/1,1.00,101M,55
ERR257715.11969158/2,1.13,101M,60
ERR257715.6378010/2,1.14,9S92M,19
ERR257715.11969158/1,1.00,101M,60
ERR257715.25201836/1,1.64,101M,53
ERR257715.22382834/2,1.86,76M25S,50
ERR257715.25201836/2,1.00,101M,34
ERR257715.34188524/2,1.00,101M,60
ERR257715.34188524/1,1.00,101M,60
ERR257715.18732901/1,1.00,101M,60
ERR257715.5806370/2,3.79,101M,60
ERR257715.10528797/1,4.27,101M,60
ERR257715.5806370/1,4.27,101M,60
ERR257715.22382834/1,4.27,101M,60
ERR257715.26112408/1,4.08,101M,60
ERR257715.18732901/2,2.86,101M,60
ERR257715.7581183/1,1.70,101M,45
ERR257715.10528797/2,1.24,66M35S,53
ERR257715.28975697/2,1.00,25S76M,60
ERR257715.19288324/2,2.75,101M,60
ERR257715.29150217/2,2.77,101M,29
ERR257715.28975697/1,2.84,93M8S,60
ERR257715.18925954/2,2.59,99M2S,58
ERR257715.11646843/1,1.58,101M,53
ERR257715.29150217/1,1.58,101M,60
ERR257715.11646843/2,2.00,101M,60
ERR257715.18925954/1,2.00,101M,60
ERR257715.5375568/2,1.75,101M,60
ERR257715.34660871/1,1.75,101M,60
ERR257715.34565467/1,2.27,101M,44
ERR257715.5375568/1,2.47,101M,59
ERR257715.30064369/1,2.13,101M,60
ERR257715.34565467/2,1.69,101M,60
ERR257715.30064369/2,1.69,101M,60
ERR257715.9702770/2,1.00,101M,60
ERR257715.9702770/1,1.00,101M,57
ERR257715.34800725/1,1.96,101M,60
ERR257715.6543636/2,1.96,101M,60
ERR257715.12349877/2,1.00,101M,60
ERR257715.34800725/2,1.11,101M,60
ERR257715.12349877/1,1.11,101M,60
ERR257715.16349162/2,1.00,101M,55
ERR257715.16349162/1,1.00,25S40M36S,48
ERR257715.26378077/1,3.02,101M,42
ERR257715.7358923/2,3.34,101M,60
ERR257715.2812017/2,3.34,101M,35
ERR257715.7464045/2,3.04,101M,60
ERR257715.2812017/1,3.02,101M,60
ERR257715.7464045/1,3.44,101M,60
ERR257715.7358923/1,3.44,101M,60
ERR257715.26378077/2,3.28,101M,60
ERR257715.27720495/1,1.69,101M,60
ERR257715.27720495/2,1.69,101M,60
ERR257715.3325909/1,1.52,101M,60
ERR257715.31405739/1,2.08,21S80M,30
ERR257715.22008042/2,1.45,101M,60
ERR257715.3325909/2,2.12,101M,60
ERR257715.31405739/2,2.19,101M,60
ERR257715.22008042/1,1.77,101M,60
ERR257715.13256476/1,1.33,101M,60
ERR257715.13256476/2,1.15,101M,60
ERR257715.28635001/2,1.15,101M,60
